Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0005,/MBG,Magazine,99.792,Kessler,0.126,Pryor,0.082,Porter,0,Sugar_Loaf,0
QAc-G-0006,/MBG,Magazine,100,Kessler,0,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0283,/Moore,Kessler,99.995,Pryor,0.003,Magazine,0.002,Sugar_Loaf,0,Porter,0
QAc-G-0265,/MA,Kessler,99.993,Magazine,0.004,Pryor,0.003,Porter,0,Sugar_Loaf,0
QAc-G-0266,/MA,Magazine,99.909,Kessler,0.09,Pryor,0.001,Sugar_Loaf,0,Porter,0
QAc-G-0267,/MA,Kessler,91.176,Magazine,8.558,Pryor,0.266,Porter,0,Sugar_Loaf,0
QAc-G-0268,/MA,Kessler,99.694,Magazine,0.2,Pryor,0.106,Porter,0,Sugar_Loaf,0
QAc-G-0269,/MA,Kessler,76.552,Magazine,23.421,Pryor,0.026,Sugar_Loaf,0,Porter,0
QAc-G-0270,/MA,Kessler,95.623,Porter,3.907,Magazine,0.409,Pryor,0.061,Sugar_Loaf,0
QAc-G-0271,/MA,Porter,99.762,Pryor,0.105,Magazine,0.08,Kessler,0.054,Sugar_Loaf,0
QAc-G-0272,/MA,Magazine,99.994,Kessler,0.006,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0273,/MA,Pryor,95.812,Magazine,3.465,Kessler,0.723,Porter,0,Sugar_Loaf,0
QAc-G-0274,/MA,Magazine,79.187,Pryor,20.771,Porter,0.043,Kessler,0,Sugar_Loaf,0
QAc-G-0251,/Peckerwood,Magazine,82.218,Kessler,17.766,Porter,0.014,Sugar_Loaf,0.002,Pryor,0.001
QAc-G-0252,/Peckerwood,Kessler,85.827,Magazine,14.033,Pryor,0.109,Sugar_Loaf,0.027,Porter,0.004
QAc-G-0253,/Peckerwood,Magazine,98.29,Pryor,1.665,Kessler,0.045,Porter,0,Sugar_Loaf,0
QAc-G-0254,/Peckerwood,Kessler,50.891,Magazine,48.824,Pryor,0.285,Porter,0,Sugar_Loaf,0
