Ind,Pop,Sample_pop,First_Assign_Pop,First_Per,Second_Assign_Pop,Second_per,Third_Assign_Pop,Third_Per,Fourth_Assign_Pop,Fourth_Per,Fifth_Assign_Pop,Fifth_Pop
QAc-G-0171,/TMA,Magazine,Magazine,94.847,Porter,3.717,Kessler,1.43,Pryor,0.006,Sugarloaf,0
QAc-G-0172,/TMA,Magazine,Kessler,100,Magazine,0,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0173,/TMA,Magazine,Magazine,98.649,Kessler,1.351,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0174,/TMA,Magazine,Magazine,94.625,Kessler,5.375,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0175,/TMA,Magazine,Kessler,99.99,Magazine,0.01,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0176,/TMA,Magazine,Porter,54.381,Magazine,32.484,Kessler,11.393,Pryor,1.742,Sugarloaf,0
QAc-G-0177,/TMA,Magazine,Kessler,45.554,Magazine,40.832,Porter,13.488,Pryor,0.126,Sugarloaf,0
QAc-G-0178,/TMA,Magazine,Magazine,95.475,Kessler,3.796,Porter,0.714,Pryor,0.015,Sugarloaf,0
QAc-G-0179,/TMA,Magazine,Magazine,95.981,Kessler,4.016,Porter,0.004,Pryor,0,Sugarloaf,0
QAc-G-0180,/TMA,Magazine,Kessler,64.514,Magazine,23.911,Porter,11.398,Pryor,0.176,Sugarloaf,0
QAc-G-0181,/TMA,Magazine,Kessler,99.904,Porter,0.082,Magazine,0.014,Pryor,0,Sugarloaf,0
QAc-G-0182,/TMA,Magazine,Kessler,99.999,Magazine,0.001,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0183,/TMA,Magazine,Magazine,99.936,Kessler,0.039,Pryor,0.022,Porter,0.003,Sugarloaf,0
QAc-G-0184,/TMA,Magazine,Kessler,65.644,Magazine,34.354,Porter,0.002,Pryor,0,Sugarloaf,0
QAc-G-0185,/TMA,Magazine,Magazine,98.698,Kessler,1.301,Porter,0.001,Pryor,0,Sugarloaf,0
QAc-G-0186,/TMA,Magazine,Kessler,87.566,Porter,12.434,Sugarloaf,0,Magazine,0,Pryor,0
QAc-G-0187,/TMA,Magazine,Magazine,59.066,Kessler,39.399,Porter,0.77,Pryor,0.764,Sugarloaf,0
QAc-G-0188,/TMA,Magazine,Kessler,53.484,Pryor,33.066,Porter,10.34,Magazine,2.822,Sugarloaf,0.289
QAc-G-0189,/TMA,Magazine,Kessler,99.993,Magazine,0.005,Pryor,0.002,Porter,0,Sugarloaf,0
QAc-G-0190,/TMA,Magazine,Porter,99.215,Magazine,0.503,Kessler,0.215,Pryor,0.067,Sugarloaf,0
QAc-G-0191,/TMA,Magazine,Porter,60.958,Magazine,25.025,Kessler,10.692,Pryor,3.326,Sugarloaf,0
QAc-G-0192,/TMA,Magazine,Porter,56.835,Pryor,22.036,Kessler,19.159,Magazine,1.97,Sugarloaf,0
QAc-G-0193,/TMA,Magazine,Kessler,60.529,Magazine,20.095,Porter,19.335,Pryor,0.041,Sugarloaf,0
